Close,Date
4634.09,2021-12-14
4668.97,2021-12-13
4712.02,2021-12-10
4667.45,2021-12-09
4701.21,2021-12-08
4686.75,2021-12-07
4591.67,2021-12-06
4538.43,2021-12-03
4577.1,2021-12-02
4513.04,2021-12-01
4567.0,2021-11-30
4655.27,2021-11-29
4594.62,2021-11-26
4701.46,2021-11-24
4690.7,2021-11-23
4682.94,2021-11-22
4697.96,2021-11-19
4704.54,2021-11-18
4688.67,2021-11-17
4700.9,2021-11-16
4682.8,2021-11-15
4682.85,2021-11-12
4649.27,2021-11-11
4646.71,2021-11-10
4685.25,2021-11-09
4701.7,2021-11-08
4697.53,2021-11-05
4680.06,2021-11-04
4660.57,2021-11-03
4630.65,2021-11-02
4613.67,2021-11-01
4605.38,2021-10-29
4596.42,2021-10-28
4551.68,2021-10-27
4574.79,2021-10-26
4566.48,2021-10-25
4544.9,2021-10-22
4549.78,2021-10-21
4536.19,2021-10-20
4519.63,2021-10-19
4486.46,2021-10-18
4471.37,2021-10-15
4438.26,2021-10-14
4363.8,2021-10-13
4350.65,2021-10-12
4361.19,2021-10-11
4391.34,2021-10-08
4399.76,2021-10-07
4363.55,2021-10-06
4345.72,2021-10-05
4300.46,2021-10-04
4357.04,2021-10-01
4307.54,2021-09-30
4359.46,2021-09-29
4352.63,2021-09-28
4443.11,2021-09-27
4455.48,2021-09-24
4448.98,2021-09-23
4395.64,2021-09-22
4354.19,2021-09-21
4357.73,2021-09-20
4432.99,2021-09-17
4473.75,2021-09-16
4480.7,2021-09-15
4443.05,2021-09-14
4468.73,2021-09-13
4458.58,2021-09-10
4493.28,2021-09-09
4514.07,2021-09-08
4520.03,2021-09-07
4535.43,2021-09-03
4536.95,2021-09-02
4524.09,2021-09-01
4522.68,2021-08-31
4528.79,2021-08-30
4509.37,2021-08-27
4470.0,2021-08-26
4496.19,2021-08-25
4486.23,2021-08-24
4479.53,2021-08-23
4441.67,2021-08-20
4405.8,2021-08-19
4400.27,2021-08-18
4448.08,2021-08-17
4479.71,2021-08-16
4468.0,2021-08-13
4460.83,2021-08-12
4447.7,2021-08-11
4436.75,2021-08-10
4432.35,2021-08-09
4436.52,2021-08-06
4429.1,2021-08-05
4402.66,2021-08-04
4423.15,2021-08-03
4387.16,2021-08-02
4395.26,2021-07-30
4419.15,2021-07-29
4400.64,2021-07-28
4401.46,2021-07-27
4422.3,2021-07-26
4411.79,2021-07-23
4367.48,2021-07-22
4358.69,2021-07-21
4323.06,2021-07-20
4258.49,2021-07-19
4327.16,2021-07-16
4360.03,2021-07-15
4374.3,2021-07-14
4369.21,2021-07-13
4384.63,2021-07-12
4369.55,2021-07-09
4320.82,2021-07-08
4358.13,2021-07-07
4343.54,2021-07-06
4352.34,2021-07-02
4319.94,2021-07-01
4297.5,2021-06-30
4291.8,2021-06-29
4290.61,2021-06-28
4280.7,2021-06-25
4266.49,2021-06-24
4241.84,2021-06-23
4246.44,2021-06-22
4224.79,2021-06-21
4166.45,2021-06-18
4221.86,2021-06-17
4223.7,2021-06-16
4246.59,2021-06-15
4255.15,2021-06-14
4247.44,2021-06-11
4239.18,2021-06-10
4219.55,2021-06-09
4227.26,2021-06-08
4226.52,2021-06-07
4229.89,2021-06-04
4192.85,2021-06-03
4208.12,2021-06-02
4202.04,2021-06-01
4204.11,2021-05-28
4200.88,2021-05-27
4195.99,2021-05-26
4188.13,2021-05-25
4197.05,2021-05-24
4155.86,2021-05-21
4159.12,2021-05-20
4115.68,2021-05-19
4127.83,2021-05-18
4163.29,2021-05-17
4173.85,2021-05-14
4112.5,2021-05-13
4063.04,2021-05-12
4152.1,2021-05-11
4188.43,2021-05-10
4232.6,2021-05-07
4201.62,2021-05-06
4167.59,2021-05-05
4164.66,2021-05-04
4192.66,2021-05-03
