Date,USD,EUR
1985-10-24,326.2,372.37
1985-10-25,325.4,371.8
1985-10-28,326.5,371.99
1985-10-29,326.3,369.24
1985-10-30,326.2,368.85
1985-10-31,325.1,366.57
1985-11-01,323.5,363.79
1985-11-04,325.35,364.15
1985-11-05,324.6,365.73
1985-11-06,324.4,363.73
1985-11-07,323.0,364.95
1985-11-08,321.95,363.98
1985-11-11,323.1,365.78
1985-11-12,323.1,365.27
1985-11-13,324.5,365.96
1985-11-14,325.3,366.96
1985-11-15,325.4,367.88
1985-11-18,323.5,364.8
1985-11-19,324.35,363.61
1985-11-20,325.65,366.53
1985-11-21,325.8,364.48
1985-11-22,326.5,362.86
1985-11-25,330.2,365.4
1985-11-26,331.25,364.38
1985-11-27,328.15,360.05
1985-11-28,326.3,356.6
1985-11-29,325.3,353.9
1985-12-02,321.5,350.44
1985-12-03,322.6,353.6
1985-12-04,324.2,353.3
1985-12-05,322.8,352.21
1985-12-06,322.3,352.46
1985-12-09,317.4,348.08
1985-12-10,317.0,348.38
1985-12-11,315.5,347.06
1985-12-12,317.5,346.1
1985-12-13,317.75,347.72
1985-12-16,318.6,348.56
1985-12-17,321.15,349.32
1985-12-18,320.05,349.64
1985-12-19,325.8,356.01
1985-12-20,325.55,355.6
1985-12-23,327.6,356.73
1985-12-24,324.85,353.61
1985-12-25,324.85,353.61
1985-12-26,324.85,353.61
1985-12-27,326.85,351.34
1985-12-30,326.8,349.95
1985-12-31,326.8,347.51
1986-01-01,326.8,347.51
1986-01-02,326.3,345.98
1986-01-03,326.75,349.66
1986-01-06,328.0,348.92
1986-01-07,330.0,349.76
1986-01-08,332.6,354.5
1986-01-09,333.5,354.54
1986-01-10,340.45,362.74
1986-01-13,339.4,365.54
1986-01-14,341.0,365.33
1986-01-15,346.75,370.63
1986-01-16,363.0,388.87
1986-01-17,352.6,377.31
1986-01-20,351.0,376.81
1986-01-21,356.5,380.78
1986-01-22,353.0,375.38
1986-01-23,350.3,373.05
1986-01-24,354.0,372.82
1986-01-27,358.4,374.1
1986-01-28,353.0,368.3
1986-01-29,353.25,367.06
1986-01-30,358.0,371.91
1986-01-31,350.5,364.1
1986-02-03,347.3,362.12
1986-02-04,338.6,355.61
1986-02-05,337.3,350.19
1986-02-06,337.1,350.16
1986-02-07,337.2,352.12
1986-02-10,340.15,352.81
1986-02-11,335.8,346.92
1986-02-12,337.25,347.2
1986-02-13,334.0,341.82
1986-02-14,331.35,338.33
1986-02-17,333.0,338.93
1986-02-18,337.25,343.87
1986-02-19,341.4,341.14
1986-02-20,337.1,338.27
1986-02-21,338.0,339.88
1986-02-24,341.8,339.9
1986-02-25,352.4,344.9
1986-02-26,345.75,335.85
1986-02-27,336.9,326.43
1986-02-28,338.15,328.64
1986-03-03,335.6,324.7
1986-03-04,337.15,323.26
1986-03-05,341.5,335.68
1986-03-06,344.5,336.72
1986-03-07,343.35,334.69
1986-03-10,340.25,337.46
1986-03-11,342.9,338.16
1986-03-12,343.85,341.61
1986-03-13,349.6,349.04
1986-03-14,348.0,342.89
1986-03-17,349.9,342.32
1986-03-18,351.15,343.67
1986-03-19,346.75,341.13
1986-03-20,350.65,343.34
1986-03-21,352.9,344.06
1986-03-24,350.2,348.15
1986-03-25,351.75,357.46
1986-03-26,344.3,348.88
1986-03-27,344.0,348.01
1986-03-28,344.0,348.01
1986-03-31,344.0,348.01
1986-04-01,333.1,337.55
1986-04-02,335.5,345.62
1986-04-03,334.75,348.32
1986-04-04,334.5,352.93
1986-04-07,337.65,354.36
1986-04-08,339.4,348.43
1986-04-09,337.85,345.88
1986-04-10,337.7,345.76
1986-04-11,341.95,346.04
1986-04-14,341.6,346.49
1986-04-15,341.75,346.83
1986-04-16,339.0,335.19
1986-04-17,339.9,332.51
1986-04-18,342.75,334.77
1986-04-21,341.4,331.56
1986-04-22,344.1,332.61
1986-04-23,346.2,333.79
1986-04-24,344.75,333.72
1986-04-25,344.45,330.62
1986-04-28,343.15,326.69
1986-04-29,342.45,327.52
1986-04-30,345.75,329.63
1986-05-01,345.1,334.35
1986-05-02,341.6,332.04
1986-05-05,341.6,332.04
1986-05-06,340.4,330.66
1986-05-07,342.45,331.14
1986-05-08,345.25,330.77
1986-05-09,345.35,330.87
1986-05-12,345.2,330.28
1986-05-13,343.7,332.08
1986-05-14,342.45,329.35
1986-05-15,342.0,330.63
1986-05-16,343.0,333.77
1986-05-19,340.8,333.65
1986-05-20,338.7,333.95
1986-05-21,338.9,334.26
1986-05-22,340.45,341.3
1986-05-23,341.1,341.51
1986-05-26,341.1,341.51
1986-05-27,341.5,341.68
1986-05-28,343.75,344.81
1986-05-29,342.7,347.44
1986-05-30,343.2,350.96
1986-06-02,341.85,349.34
1986-06-03,342.2,342.58
1986-06-04,340.75,341.52
1986-06-05,341.75,336.94
1986-06-06,341.65,335.32
1986-06-09,341.8,336.66
1986-06-10,347.7,339.94
1986-06-11,347.4,338.71
1986-06-12,348.35,339.3
1986-06-13,346.2,337.06
1986-06-16,339.3,329.27
1986-06-17,336.75,331.82
1986-06-18,339.15,334.88
1986-06-19,339.2,333.91
1986-06-20,339.65,336.04
1986-06-23,341.05,338.04
1986-06-24,342.0,334.63
1986-06-25,344.15,336.12
1986-06-26,344.9,337.82
1986-06-27,344.5,334.77
1986-06-30,346.75,336.16
1986-07-01,345.1,331.05
1986-07-02,342.3,329.99
1986-07-03,343.85,329.63
1986-07-04,343.8,329.85
1986-07-07,344.85,331.73
1986-07-08,347.85,334.45
1986-07-09,348.1,335.23
1986-07-10,346.8,332.85
1986-07-11,348.1,335.64
1986-07-14,345.75,329.27
1986-07-15,346.0,330.96
1986-07-16,347.6,330.23
1986-07-17,347.0,329.4
1986-07-18,347.9,328.72
1986-07-21,353.95,332.42
1986-07-22,353.5,334.02
1986-07-23,347.25,327.77
1986-07-24,348.65,329.51
1986-07-25,349.4,331.73
1986-07-28,353.6,331.38
1986-07-29,351.25,329.03
1986-07-30,351.65,329.64
1986-07-31,357.5,332.15
1986-08-01,361.0,334.24
1986-08-04,359.8,332.91
1986-08-05,358.5,332.67
1986-08-06,362.4,335.32
1986-08-07,361.8,332.7
1986-08-08,368.8,339.66
1986-08-11,388.0,355.21
1986-08-12,384.0,354.01
1986-08-13,388.0,357.12
1986-08-14,385.25,353.27
1986-08-15,385.1,353.32
1986-08-18,377.25,347.03
1986-08-19,374.4,342.79
1986-08-20,378.0,344.66
1986-08-21,380.75,346.89
1986-08-22,386.25,352.18
1986-08-25,386.25,352.18
1986-08-26,381.1,348.45
1986-08-27,380.1,346.98
1986-08-28,386.7,353.61
1986-08-29,384.7,349.46
1986-09-01,391.75,354.47
1986-09-02,393.25,356.72
1986-09-03,405.0,366.58
1986-09-04,405.5,367.28
1986-09-05,420.8,384.32
1986-09-08,418.6,386.55
1986-09-09,409.25,376.14
1986-09-10,418.5,385.01
1986-09-11,402.0,375.04
1986-09-12,419.5,385.94
1986-09-15,413.0,378.0
1986-09-16,417.25,381.7
1986-09-17,413.2,374.62
1986-09-18,417.85,371.98
1986-09-19,430.0,383.22
1986-09-22,435.5,395.1
1986-09-23,435.0,398.44
1986-09-24,431.5,394.74
1986-09-25,429.4,393.05
1986-09-26,433.0,396.15
1986-09-29,427.0,386.83
1986-09-30,423.2,383.64
1986-10-01,425.0,384.3
1986-10-02,431.3,387.43
