DATE,OECDCPALTT01GYM
1971-01-01,5.58894754140746
1971-02-01,5.6099973859968
1971-03-01,5.47153734482521
1971-04-01,5.42894274694865
1971-05-01,5.72992641469418
1971-06-01,5.92608700711619
1971-07-01,5.93314630191098
1971-08-01,6.13663330575355
1971-09-01,6.06664777214943
1971-10-01,5.80737563960761
1971-11-01,5.50014711906587
1971-12-01,5.40466166584205
1972-01-01,5.13511863314742
1972-02-01,5.25131142896751
1972-03-01,5.29834758935558
1972-04-01,5.0888262940683
1972-05-01,5.00280397230872
1972-06-01,4.8430604432043
1972-07-01,4.93897046521298
1972-08-01,5.06701995625813
1972-09-01,5.14219299493008
1972-10-01,5.30902257863461
1972-11-01,5.45222705284156
1972-12-01,5.4580933233206
1973-01-01,5.7897539115728
1973-02-01,5.97179267536995
1973-03-01,6.48037857053923
1973-04-01,7.09568746261112
1973-05-01,7.68334157492592
1973-06-01,8.03070057587122
1973-07-01,8.06670565503447
1973-08-01,8.7947474722358
1973-09-01,9.14428039239243
1973-10-01,9.64389719887758
1973-11-01,10.2651387622945
1973-12-01,11.1205569844787
1974-01-01,12.1429786630546
1974-02-01,13.0544077634363
1974-03-01,13.3984209285864
1974-04-01,13.5655332855848
1974-05-01,13.7382411025105
1974-06-01,13.8447913604685
1974-07-01,14.4757685913083
1974-08-01,14.3891347639063
1974-09-01,14.8355411079338
1974-10-01,15.1344559022152
1974-11-01,15.3786457798322
1974-12-01,14.8323991326434
1975-01-01,14.2312203543161
1975-02-01,13.4602451898166
1975-03-01,12.8437385756358
1975-04-01,12.7023905076502
1975-05-01,12.5460859354295
1975-06-01,12.5138156581375
1975-07-01,12.1629511999613
1975-08-01,11.3791066537618
1975-09-01,10.9922875763275
1975-10-01,10.4686651649586
1975-11-01,9.9549781129344
1975-12-01,9.7484168984185
1976-01-01,9.6595899915073
1976-02-01,9.5662418876557
1976-03-01,9.49286998925401
1976-04-01,9.38507158004289
1976-05-01,9.24585150635835
1976-06-01,8.90273980416576
1976-07-01,8.65266600175713
1976-08-01,8.86599452188564
1976-09-01,8.98472365744924
1976-10-01,9.32594018559216
1976-11-01,9.43910505989606
1976-12-01,9.5890003495084
1977-01-01,9.66534414299014
1977-02-01,9.96239304806765
1977-03-01,10.2407160579416
1977-04-01,10.4550113353354
1977-05-01,10.3585238381532
1977-06-01,10.591270651138
1977-07-01,10.6090961202771
1977-08-01,10.6531317293308
1977-09-01,10.4146026952605
1977-10-01,9.94617525270857
1977-11-01,9.71007859528964
1977-12-01,9.48905599854244
1978-01-01,9.29182635528593
1978-02-01,9.03818194050449
1978-03-01,8.95153892604413
1978-04-01,8.74531040803934
1978-05-01,8.91881846748021
1978-06-01,9.07385472663638
1978-07-01,9.30365895143926
1978-08-01,9.24632356369892
1978-09-01,9.2380312690315
1978-10-01,9.39718103578155
1978-11-01,9.34312953984431
1978-12-01,9.33901865429434
1979-01-01,9.59350593562717
1979-02-01,9.73370387672051
1979-03-01,9.93698218539844
1979-04-01,10.1832376678338
1979-05-01,10.4334173567124
1979-06-01,10.7621259016129
1979-07-01,11.4168115354431
1979-08-01,11.6600653476253
1979-09-01,12.081991064044
1979-10-01,12.4023003482739
1979-11-01,12.8736702810141
1979-12-01,13.5413592946068
1980-01-01,14.433584932223
1980-02-01,15.1964451334834
1980-03-01,15.4644791562259
1980-04-01,15.7036874449038
1980-05-01,15.5577611647345
1980-06-01,15.4210650035268
1980-07-01,14.5279076480855
1980-08-01,14.5369321700567
1980-09-01,14.3375381392689
1980-10-01,14.1649979604666
1980-11-01,14.179951791956
1980-12-01,13.9791449430164
1981-01-01,13.3121487210767
1981-02-01,12.6394205687215
1981-03-01,12.3012552032714
1981-04-01,11.8638165674319
1981-05-01,11.7626982131293
1981-06-01,11.6171031028269
1981-07-01,11.9889606290154
1981-08-01,11.9556744548692
1981-09-01,12.0600525107875
1981-10-01,11.8249091725103
1981-11-01,11.5488454584086
1981-12-01,11.2075482147423
1982-01-01,10.8863725245052
1982-02-01,10.5374251708533
1982-03-01,10.147409784305
1982-04-01,10.157099100058
1982-05-01,10.4051643901886
1982-06-01,10.730850682853
1982-07-01,10.5021897132526
1982-08-01,10.932133309275
1982-09-01,10.7271738163531
1982-10-01,10.9103190447719
1982-11-01,10.8079124789665
1982-12-01,11.2925708760939
1983-01-01,11.3974111186896
1983-02-01,11.3158618202614
1983-03-01,11.3835958667594
1983-04-01,11.4488644806001
1983-05-01,11.1192144778925
1983-06-01,10.4362192463283
1983-07-01,10.3988532732403
1983-08-01,9.89703275673269
1983-09-01,9.84901047356838
1983-10-01,9.75253331514186
1983-11-01,9.99117881390499
1983-12-01,9.55858821610279
1984-01-01,9.38557961429475
1984-02-01,9.61143366836053
1984-03-01,9.58644962190138
1984-04-01,9.29468214936027
1984-05-01,9.08078325709279
1984-06-01,9.13279457468614
1984-07-01,8.91769306736209
1984-08-01,8.70662631787044
1984-09-01,8.56319262480025
1984-10-01,8.45047478992428
1984-11-01,8.09104677802669
1984-12-01,7.91157295857373
1985-01-01,7.90313766084796
1985-02-01,7.82975734797945
1985-03-01,7.99911754576166
1985-04-01,7.95825388879225
1985-05-01,7.82795956116004
1985-06-01,7.55673657352506
1985-07-01,7.43809588127315
1985-08-01,7.36698481169264
1985-09-01,7.25053426282275
1985-10-01,7.31049652819533
1985-11-01,7.47281622999326
1985-12-01,7.76051272319092
1986-01-01,7.73240269703786
1986-02-01,7.18552334267947
1986-03-01,6.53036884776332
1986-04-01,6.15374361654109
1986-05-01,6.22919987000864
1986-06-01,6.58527802032386
